"PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked"
"1,0,3,""(Mr., Owen, Harris, Braund, )"",male,22.0,1,0,21171,8,S"
"2,1,1,""(Mrs., John, Bradley, Cumings, Florence Briggs Thayer)"",female,38.0,1,0,17599,72,C"
"3,1,3,""(Miss., Laina, , Heikkinen, )"",female,26.0,0,0,3101282,8,S"
"4,1,1,""(Mrs., Jacques, Heath, Futrelle, Lily May Peel)"",female,35.0,1,0,113803,54,S"
"5,0,3,""(Mr., William, Henry, Allen, )"",male,35.0,0,0,373450,9,S"
"6,0,3,""(Mr., James, , Moran, )"",male,25.0,0,0,330877,9,Q"
"7,0,1,""(Mr., Timothy, J, McCarthy, )"",male,54.0,0,0,17463,52,S"
"8,0,3,""(Master., Gosta, Leonard, Palsson, )"",male,2.0,3,1,349909,22,S"
"9,1,3,""(Mrs., Oscar, W, Johnson, Elisabeth Vilhelmina Berg)"",female,27.0,0,2,347742,12,S"
"10,1,2,""(Mrs., Nicholas, , Nasser, Adele Achem)"",female,14.0,1,0,237736,31,C"
"11,1,3,""(Miss., Marguerite, Rut, Sandstrom, )"",female,4.0,1,1,9549,17,S"
"12,1,1,""(Miss., Elizabeth, , Bonnell, )"",female,58.0,0,0,113783,27,S"
"13,0,3,""(Mr., William, Henry, Saundercock, )"",male,20.0,0,0,2151,9,S"
"14,0,3,""(Mr., Anders, Johan, Andersson, )"",male,39.0,1,5,347082,32,S"
"15,0,3,""(Miss., Hulda, Amanda Adolfina, Vestrom, )"",female,14.0,0,0,350406,8,S"
"16,1,2,""(Mrs., , , Hewlett, Mary D Kingcome)"",female,55.0,0,0,248706,16,S"
"17,0,3,""(Master., Eugene, , Rice, )"",male,2.0,4,1,382652,30,Q"
"18,1,2,""(Mr., Charles, Eugene, Williams, )"",male,25.0,0,0,244373,13,S"
"19,0,3,""(Mrs., Julius, , Vander Planke, Emelia Maria Vandemoortele)"",female,31.0,1,0,345763,18,S"
"20,1,3,""(Mrs., Fatima, , Masselmani, )"",female,25.0,0,0,2649,8,C"
"21,0,2,""(Mr., Joseph, J, Fynney, )"",male,35.0,0,0,239865,26,S"
"22,1,2,""(Mr., Lawrence, , Beesley, )"",male,34.0,0,0,248698,13,S"
"23,1,3,""(Miss., Anna, """"Annie"""", McGowan, )"",female,15.0,0,0,330923,8,Q"
"24,1,1,""(Mr., William, Thompson, Sloper, )"",male,28.0,0,0,113788,36,S"
"25,0,3,""(Miss., Torborg, Danira, Palsson, )"",female,8.0,3,1,349909,22,S"
"26,1,3,""(Mrs., Carl, Oscar, Asplund, Selma Augusta Emilia Johansson)"",female,38.0,1,5,347077,32,S"
"27,0,3,""(Mr., Farred, Chehab, Emir, )"",male,25.0,0,0,2631,8,C"
"28,0,1,""(Mr., Charles, Alexander, Fortune, )"",male,19.0,3,2,19950,263,S"
"29,1,3,""(Miss., Ellen, """"Nellie"""", O'Dwyer, )"",female,25.0,0,0,330959,8,Q"
"30,0,3,""(Mr., Lalio, , Todoroff, )"",male,25.0,0,0,349216,8,S"
"31,0,1,""(Don., Manuel, E, Uruchurtu, )"",male,40.0,0,0,17601,28,C"
"32,1,1,""(Mrs., William, Augustus, Spencer, Marie Eugenie)"",female,25.0,1,0,17569,147,C"
"33,1,3,""(Miss., Mary, Agatha, Glynn, )"",female,25.0,0,0,335677,8,Q"
"34,0,2,""(Mr., Edward, H, Wheadon, )"",male,66.0,0,0,24579,11,S"
"35,0,1,""(Mr., Edgar, Joseph, Meyer, )"",male,28.0,1,0,17604,83,C"
"36,0,1,""(Mr., Alexander, Oskar, Holverson, )"",male,42.0,1,0,113789,52,S"
"37,1,3,""(Mr., Hanna, , Mamee, )"",male,25.0,0,0,2677,8,C"
"38,0,3,""(Mr., Ernest, Charles, Cann, )"",male,21.0,0,0,2152,9,S"
"39,0,3,""(Miss., Augusta, Maria, Vander Planke, )"",female,18.0,2,0,345764,18,S"
"40,1,3,""(Miss., Jamila, , Nicola-Yarred, )"",female,14.0,1,0,2651,12,C"
"41,0,3,""(Mrs., Johan, , Ahlin, Johanna Persdotter Larsson)"",female,40.0,1,0,7546,10,S"
"42,0,2,""(Mrs., William, John, Robert, Dorothy Ann Wonnacott)"",female,27.0,1,0,11668,21,S"
"43,0,3,""(Mr., Theodor, , Kraeff, )"",male,25.0,0,0,349253,8,C"
"44,1,2,""(Miss., Simonne, Marie Anne Andree, Laroche, )"",female,3.0,1,2,2123,42,C"
"45,1,3,""(Miss., Margaret, Delia, Devaney, )"",female,19.0,0,0,330958,8,Q"
"46,0,3,""(Mr., William, John, Rogers, )"",male,25.0,0,0,23567,9,S"
"47,0,3,""(Mr., Denis, , Lennon, )"",male,25.0,1,0,370371,16,Q"
"48,1,3,""(Miss., Bridget, , O'Driscoll, )"",female,25.0,0,0,14311,8,Q"
"49,0,3,""(Mr., Youssef, , Samaan, )"",male,25.0,2,0,2662,22,C"
"50,0,3,""(Mrs., Josef, , Arnold-Franchi, Josefine Franchi)"",female,18.0,1,0,349237,18,S"
"51,0,3,""(Master., Juha, Niilo, Panula, )"",male,7.0,4,1,3101295,40,S"
"52,0,3,""(Mr., Richard, Cater, Nosworthy, )"",male,21.0,0,0,39886,8,S"
"53,1,1,""(Mrs., Henry, Sleeper, Harper, Myna Haxtun)"",female,49.0,1,0,17572,77,D"
"54,1,2,""(Mrs., Lizzie, , Faunthorpe, Elizabeth Anne Wilkinson)"",female,29.0,1,0,2926,26,S"
"55,0,1,""(Mr., Engelhart, Cornelius, Ostby, )"",male,65.0,0,1,113509,62,B"
"56,1,1,""(Mr., Hugh, , Woolner, )"",male,25.0,0,0,19947,36,C"
"57,1,2,""(Miss., Emily, , Rugg, )"",female,21.0,0,0,31026,11,S"
"58,0,3,""(Mr., Mansouer, , Novel, )"",male,28.5,0,0,2697,8,C"
"59,1,2,""(Miss., Constance, Mirium, West, )"",female,5.0,1,2,34651,28,S"
"60,0,3,""(Master., William, Frederick, Goodwin, )"",male,11.0,5,2,2144,47,S"
"61,0,3,""(Mr., Orsen, , Sirayanian, )"",male,22.0,0,0,2669,8,C"
"62,1,1,""(Miss., Amelie, , Icard, )"",female,38.0,0,0,113572,80,B"
"63,0,1,""(Mr., Henry, Birkhardt, Harris, )"",male,45.0,1,0,36973,84,C"
"64,0,3,""(Master., Harald, , Skoog, )"",male,4.0,3,2,347088,28,S"
"65,0,1,""(Mr., Albert, A, Stewart, )"",male,25.0,0,0,17605,28,C"
"66,1,3,""(Master., Gerios, , Moubarek, )"",male,25.0,1,1,2661,16,C"
"67,1,2,""(Mrs., , , Nye, Elizabeth Ramell)"",female,29.0,0,0,29395,11,S"
"68,0,3,""(Mr., Ernest, James, Crease, )"",male,19.0,0,0,3464,9,S"
"69,1,3,""(Miss., Erna, Alexandra, Andersson, )"",female,17.0,4,2,3101281,8,S"
"70,0,3,""(Mr., Vincenz, , Kink, )"",male,26.0,2,0,315151,9,S"
"71,0,2,""(Mr., Stephen, Curnow, Jenkin, )"",male,32.0,0,0,33111,11,S"
"72,0,3,""(Miss., Lillian, Amy, Goodwin, )"",female,16.0,5,2,2144,47,S"
"73,0,2,""(Mr., Ambrose, Jr, Hood, )"",male,21.0,0,0,14879,74,S"
"74,0,3,""(Mr., Apostolos, , Chronopoulos, )"",male,26.0,1,0,2680,15,C"
"75,1,3,""(Mr., Lee, , Bing, )"",male,32.0,0,0,1601,57,S"
"76,0,3,""(Mr., Sigurd, Hansen, Moen, )"",male,25.0,0,0,348123,8,F"
"77,0,3,""(Mr., Ivan, , Staneff, )"",male,25.0,0,0,349208,8,S"
"78,0,3,""(Mr., Rahamin, Haim, Moutal, )"",male,25.0,0,0,374746,9,S"
"79,1,2,""(Master., Alden, Gates, Caldwell, )"",male,0.83,0,2,248738,29,S"
"80,1,3,""(Miss., Elizabeth, , Dowdell, )"",female,30.0,0,0,364516,13,S"
"81,0,3,""(Mr., Achille, , Waelens, )"",male,22.0,0,0,345767,9,S"
"82,1,3,""(Mr., Jan, Baptist, Sheerlinck, )"",male,29.0,0,0,345779,10,S"
"83,1,3,""(Miss., Brigdet, Delia, McDermott, )"",female,25.0,0,0,330932,8,Q"
"84,0,1,""(Mr., Francisco, M, Carrau, )"",male,28.0,0,0,113059,48,S"
"85,1,2,""(Miss., Bertha, , Ilett, )"",female,17.0,0,0,14885,11,S"
"86,1,3,""(Mrs., Karl, Alfred, Backstrom, Maria Mathilda Gustafsson)"",female,33.0,3,0,3101278,16,S"
"87,0,3,""(Mr., William, Neal, Ford, )"",male,16.0,1,3,6608,35,S"
"88,0,3,""(Mr., Selman, Francis, Slocovski, )"",male,25.0,0,0,392086,9,S"
"89,1,1,""(Miss., Mabel, Helen, Fortune, )"",female,23.0,3,2,19950,263,C"
"90,0,3,""(Mr., Francesco, , Celotti, )"",male,24.0,0,0,343275,9,S"
"91,0,3,""(Mr., Emil, , Christmann, )"",male,29.0,0,0,343276,9,S"
"92,0,3,""(Mr., Paul, Edvin, Andreasson, )"",male,20.0,0,0,347466,8,S"
"93,0,1,""(Mr., Herbert, Fuller, Chaffee, )"",male,46.0,1,0,5734,62,E"
"94,0,3,""(Mr., Bertram, Frank, Dean, )"",male,26.0,1,2,2315,21,S"
"95,0,3,""(Mr., Daniel, , Coxon, )"",male,59.0,0,0,364500,8,S"
"96,0,3,""(Mr., Charles, Joseph, Shorney, )"",male,25.0,0,0,374910,9,S"
"97,0,1,""(Mr., George, B, Goldschmidt, )"",male,71.0,0,0,17754,35,A"
"98,1,1,""(Mr., William, Bertram, Greenfield, )"",male,23.0,0,1,17759,64,D"
"99,1,2,""(Mrs., John, T, Doling, Ada Julia Bone)"",female,34.0,0,1,231919,23,S"
"100,0,2,""(Mr., Sinai, , Kantor, )"",male,34.0,1,0,244367,26,S"
"101,0,3,""(Miss., Matilda, , Petranec, )"",female,28.0,0,0,349245,8,S"
"102,0,3,""(Mr., Pastcho, (""""Pentcho""""), Petroff, )"",male,25.0,0,0,349215,8,S"
"103,0,1,""(Mr., Richard, Frasar, White, )"",male,21.0,0,1,35281,78,D"
"104,0,3,""(Mr., Gustaf, Joel, Johansson, )"",male,33.0,0,0,7540,9,S"
"105,0,3,""(Mr., Anders, Vilhelm, Gustafsson, )"",male,37.0,2,0,3101276,8,S"
"106,0,3,""(Mr., Stoytcho, , Mionoff, )"",male,28.0,0,0,349207,8,S"
"107,1,3,""(Miss., Anna, Kristine, Salkjelsvik, )"",female,21.0,0,0,343120,8,S"
"108,1,3,""(Mr., Albert, Johan, Moss, )"",male,25.0,0,0,312991,8,S"
"109,0,3,""(Mr., Tido, , Rekic, )"",male,38.0,0,0,349249,8,S"
"110,1,3,""(Miss., Bertha, , Moran, )"",female,25.0,1,0,371110,25,Q"
"111,0,1,""(Mr., Walter, Chamberlain, Porter, )"",male,47.0,0,0,110465,52,C"
"112,0,3,""(Miss., Hileni, , Zabour, )"",female,14.5,1,0,2665,15,C"
"113,0,3,""(Mr., David, John, Barton, )"",male,22.0,0,0,324669,9,S"
"114,0,3,""(Miss., Katriina, , Jussila, )"",female,20.0,1,0,4136,10,S"
"115,0,3,""(Miss., Malake, , Attalah, )"",female,17.0,0,0,2627,15,C"
"116,0,3,""(Mr., Edvard, , Pekoniemi, )"",male,21.0,0,0,3101294,8,S"
"117,0,3,""(Mr., Patrick, , Connors, )"",male,70.5,0,0,370369,8,Q"
"118,0,2,""(Mr., William, John, Robert, Turpin, )"",male,29.0,1,0,11668,21,S"
"119,0,1,""(Mr., Quigg, Edmond, Baxter, )"",male,24.0,0,1,17558,248,B"
"120,0,3,""(Miss., Ellis, Anna Maria, Andersson, )"",female,2.0,4,2,347082,32,S"
"121,0,2,""(Mr., Stanley, George, Hickman, )"",male,21.0,2,0,14879,74,S"
"122,0,3,""(Mr., Leonard, Charles, Moore, )"",male,25.0,0,0,54510,9,S"
"123,0,2,""(Mr., Nicholas, , Nasser, )"",male,32.5,1,0,237736,31,C"
"124,1,2,""(Miss., Susan, , Webber, )"",female,32.5,0,0,27267,13,E"
"125,0,1,""(Mr., Percival, Wayland, White, )"",male,54.0,0,1,35281,78,D"
"126,1,3,""(Master., Elias, , Nicola-Yarred, )"",male,12.0,1,0,2651,12,C"
"127,0,3,""(Mr., Martin, , McMahon, )"",male,25.0,0,0,370372,8,Q"
"128,1,3,""(Mr., Fridtjof, Arne, Madsen, )"",male,24.0,0,0,17369,8,S"
"129,1,3,""(Miss., Anna, , Peter, )"",female,25.0,1,1,2668,23,F"
"130,0,3,""(Mr., Johan, , Ekstrom, )"",male,45.0,0,0,347061,7,S"
"131,0,3,""(Mr., Jozef, , Drazenoic, )"",male,33.0,0,0,349241,8,C"
"132,0,3,""(Mr., Domingos, Fernandeo, Coelho, )"",male,20.0,0,0,3101307,8,S"
